state_id,district_id,project_type,land_area,affected_families,acquisition_stage,last_updated,delay_risk,delay_months
odisha,puri,airport,49.4,16,negotiation,2026-08-06,0,2.2
maharashtra,pune,railway,82.31,109,notification,2026-01-01,0,2.0
bihar,bhagalpur,irrigation,309.56,229,possession,2025-10-20,0,4.8
odisha,ganjam,irrigation,48.22,34,notification,2026-04-02,0,2.6
madhya-pradesh,jabalpur,highway,354.37,228,possession,2025-06-30,0,4.3
chhattisgarh,raipur,airport,262.27,333,negotiation,2025-09-07,1,5.8
uttar-pradesh,kanpur-nagar,irrigation,315.33,534,negotiation,2024-01-31,0,4.4
west-bengal,darjeeling,power,325.71,216,award,2026-02-20,1,6.3
assam,silchar,railway,24.64,5,negotiation,2025-05-17,0,2.1
west-bengal,malda,irrigation,452.62,894,negotiation,2024-03-15,1,12.4
rajasthan,jodhpur,railway,382.95,401,notification,2026-02-13,1,9.8
rajasthan,jodhpur,highway,469.2,616,award,2026-03-15,1,7.7
maharashtra,nashik,irrigation,92.35,27,possession,2025-12-29,0,0.9
madhya-pradesh,jabalpur,airport,77.85,113,negotiation,2025-12-03,0,3.5
odisha,cuttack,industrial,256.77,351,negotiation,2025-05-27,0,3.8
bihar,bhagalpur,railway,178.34,257,award,2025-03-25,1,7.7
rajasthan,jaipur,power,201.17,44,possession,2026-06-04,0,2.3
odisha,khordha,highway,234.6,78,possession,2025-01-08,0,4.6
west-bengal,howrah,irrigation,366.1,613,possession,2025-11-12,0,4.2
rajasthan,jaipur,railway,328.42,169,negotiation,2026-05-06,1,6.0
jharkhand,jamshedpur,irrigation,177.35,238,notification,2024-10-02,1,6.9
west-bengal,darjeeling,irrigation,176.27,284,notification,2025-07-25,1,5.0
madhya-pradesh,bhopal,industrial,260.13,230,possession,2024-03-06,0,4.9
rajasthan,kota,highway,167.9,156,negotiation,2024-04-29,0,3.0
odisha,khordha,highway,55.74,33,possession,2024-07-13,0,0.5
uttar-pradesh,prayagraj,power,464.9,439,possession,2026-01-01,1,6.6
bihar,bhagalpur,airport,468.41,895,notification,2025-01-20,1,12.2
west-bengal,darjeeling,highway,169.89,76,notification,2025-03-31,1,6.0
odisha,puri,airport,402.92,286,negotiation,2024-06-04,0,4.5
west-bengal,malda,highway,269.52,479,negotiation,2025-04-27,1,8.3
madhya-pradesh,indore,highway,351.62,412,negotiation,2026-07-21,1,11.1
madhya-pradesh,indore,power,395.5,404,possession,2025-04-19,1,5.4
maharashtra,aurangabad,irrigation,44.27,44,award,2024-04-10,0,1.3
assam,silchar,power,120.41,31,negotiation,2026-03-19,0,3.4
chhattisgarh,korba,irrigation,305.66,483,award,2026-07-19,0,2.7
chhattisgarh,bilaspur,irrigation,404.96,801,possession,2025-01-29,1,8.2
chhattisgarh,raipur,highway,348.64,657,possession,2024-12-18,0,4.9
assam,dibrugarh,railway,210.9,89,award,2025-09-23,0,3.0
rajasthan,kota,highway,296.1,61,negotiation,2026-08-09,1,6.5
rajasthan,jodhpur,airport,83.44,71,negotiation,2026-03-31,0,3.3
madhya-pradesh,jabalpur,airport,125.47,96,notification,2024-06-27,1,6.5
jharkhand,jamshedpur,railway,490.64,546,notification,2025-11-03,1,11.6
rajasthan,jaipur,power,122.57,90,negotiation,2026-02-22,0,3.9
madhya-pradesh,jabalpur,irrigation,478.76,611,possession,2025-03-19,0,4.6
odisha,cuttack,industrial,100.26,77,negotiation,2026-03-20,0,2.5
jharkhand,dhanbad,irrigation,83.63,42,negotiation,2026-07-06,1,5.3
uttar-pradesh,prayagraj,highway,351.89,378,negotiation,2026-08-06,0,3.9
odisha,cuttack,industrial,397.49,366,negotiation,2026-03-20,1,6.0
maharashtra,nashik,industrial,136.68,273,award,2024-07-28,0,2.7
rajasthan,jaipur,irrigation,207.98,147,notification,2024-03-13,0,4.9
madhya-pradesh,gwalior,highway,220.85,159,notification,2025-10-14,1,7.0
bihar,gaya,highway,67.99,118,award,2026-05-21,1,5.2
maharashtra,pune,irrigation,242.52,186,possession,2024-08-24,0,2.2
west-bengal,darjeeling,highway,56.23,79,notification,2025-01-18,1,5.7
jharkhand,jamshedpur,power,93.3,51,negotiation,2024-12-06,0,3.9
rajasthan,jodhpur,railway,369.72,343,negotiation,2024-06-13,1,7.8
maharashtra,nashik,power,345.2,41,possession,2025-05-01,0,2.0
rajasthan,kota,railway,225.18,332,award,2026-09-19,0,3.8
bihar,arwal,power,229.8,317,award,2024-01-24,0,2.9
maharashtra,nagpur,highway,248.31,350,negotiation,2026-07-23,1,5.1
madhya-pradesh,indore,industrial,90.67,62,negotiation,2025-07-14,0,3.3
jharkhand,ranchi,power,133.52,221,possession,2024-11-28,0,4.1
madhya-pradesh,bhopal,railway,499.83,337,possession,2026-07-19,1,6.7
west-bengal,howrah,power,470.63,462,award,2025-09-26,1,5.9
bihar,patna,railway,234.83,215,negotiation,2025-06-14,1,8.3
jharkhand,ranchi,industrial,488.52,173,award,2024-08-15,1,6.9
bihar,arwal,airport,257.7,280,notification,2025-10-03,1,7.1
jharkhand,bokaro,irrigation,165.52,149,negotiation,2025-10-26,0,2.3
rajasthan,kota,railway,333.52,363,notification,2025-10-03,1,8.3
maharashtra,nashik,power,72.8,125,award,2024-05-09,0,4.4
rajasthan,kota,airport,318.77,612,award,2025-09-23,1,8.7
jharkhand,ranchi,irrigation,188.12,298,notification,2024-02-12,1,6.5
assam,nagaon,irrigation,329.59,143,award,2026-04-23,0,3.0
maharashtra,aurangabad,railway,296.21,213,possession,2024-12-04,1,5.1
maharashtra,aurangabad,industrial,455.87,474,award,2025-08-21,1,8.8
west-bengal,howrah,power,264.49,352,possession,2025-10-17,0,4.1
odisha,khordha,irrigation,199.72,210,award,2024-08-02,0,3.3
west-bengal,kolkata,railway,89.72,117,negotiation,2024-09-10,0,4.6
odisha,cuttack,industrial,192.37,88,possession,2024-03-06,0,2.5
assam,dibrugarh,irrigation,127.2,226,negotiation,2024-12-11,0,1.7
rajasthan,jodhpur,power,271.09,193,notification,2026-09-02,0,3.1
madhya-pradesh,gwalior,railway,116.6,139,award,2025-08-20,0,2.0
bihar,gaya,power,389.78,768,award,2024-01-19,1,8.6
jharkhand,ranchi,industrial,203.7,84,notification,2024-05-15,1,5.4
west-bengal,howrah,highway,98.92,56,negotiation,2024-02-07,0,2.8
uttar-pradesh,gorakhpur,railway,168.14,62,possession,2026-01-23,0,4.8
jharkhand,jamshedpur,industrial,61.91,20,negotiation,2025-11-06,0,2.2
west-bengal,kolkata,railway,294.28,166,possession,2024-05-23,0,4.1
rajasthan,kota,railway,47.14,100,negotiation,2024-11-09,0,3.6
uttar-pradesh,lucknow,railway,342.28,281,notification,2026-06-18,1,7.8
uttar-pradesh,lucknow,industrial,11.98,6,award,2024-03-21,0,2.2
chhattisgarh,korba,railway,426.26,792,award,2024-08-02,1,10.4
chhattisgarh,korba,power,41.55,65,notification,2024-04-13,0,2.6
jharkhand,jamshedpur,railway,459.28,681,notification,2026-09-12,1,13.1
west-bengal,howrah,railway,313.41,380,negotiation,2026-05-25,1,5.5
maharashtra,pune,power,433.33,277,notification,2024-03-20,1,7.4
maharashtra,aurangabad,irrigation,172.61,68,possession,2024-05-21,0,1.1
assam,silchar,industrial,442.57,585,award,2026-08-21,1,5.5
maharashtra,nagpur,railway,392.82,379,negotiation,2024-04-05,1,7.4
jharkhand,dhanbad,power,121.14,106,possession,2025-07-03,0,1.0
chhattisgarh,durg,irrigation,364.1,120,notification,2024-05-10,1,5.4
madhya-pradesh,gwalior,power,483.62,954,negotiation,2026-05-31,1,11.7
maharashtra,nagpur,railway,54.08,113,notification,2026-08-13,1,7.2
maharashtra,nashik,railway,464.15,432,award,2024-09-09,1,7.7
assam,kamrup,industrial,188.62,305,possession,2024-02-05,0,2.6
maharashtra,nagpur,highway,336.71,172,possession,2024-08-02,0,3.4
rajasthan,kota,industrial,70.06,32,award,2025-02-17,0,1.8
west-bengal,howrah,power,377.37,51,possession,2025-09-24,0,3.2
bihar,arwal,railway,220.74,367,possession,2024-11-02,1,7.2
bihar,arwal,railway,116.69,206,possession,2024-10-27,1,5.5
madhya-pradesh,gwalior,irrigation,100.74,100,notification,2024-01-23,0,3.3
chhattisgarh,bilaspur,airport,93.15,156,negotiation,2026-07-28,0,4.2
chhattisgarh,raipur,airport,124.89,247,notification,2026-04-20,0,2.9
chhattisgarh,durg,railway,437.01,130,possession,2024-09-20,0,3.7
rajasthan,jodhpur,industrial,373.01,453,award,2024-07-05,0,4.4
madhya-pradesh,indore,highway,252.27,220,negotiation,2024-11-17,0,4.9
assam,nagaon,industrial,361.11,611,possession,2026-02-26,1,7.0
rajasthan,jodhpur,irrigation,440.66,794,award,2025-11-18,1,8.5
bihar,gaya,highway,478.34,648,possession,2026-02-22,1,7.9
assam,nagaon,power,107.26,97,negotiation,2025-07-18,0,3.8
assam,nagaon,highway,328.62,159,notification,2025-06-21,1,6.2
chhattisgarh,bilaspur,railway,209.13,330,award,2024-07-10,1,5.5
assam,kamrup,airport,281.86,262,award,2024-01-15,0,0.8
west-bengal,malda,power,286.37,555,award,2025-02-01,1,6.0
madhya-pradesh,indore,airport,337.62,266,possession,2025-12-20,1,5.3
bihar,bhagalpur,railway,114.76,165,notification,2026-02-08,1,5.2
maharashtra,nagpur,highway,262.81,532,negotiation,2024-02-10,1,7.2
